Miss Rate: 1024 1 0.193460
Miss Rate: 1024 2 0.156030
Miss Rate: 1024 4 0.142700
Miss Rate: 1024 8 0.136270
Miss Rate: 1024 32 0.136960
Miss Rate: 2048 1 0.147740
Miss Rate: 2048 2 0.107140
Miss Rate: 2048 4 0.096220
Miss Rate: 2048 8 0.090690
Miss Rate: 2048 64 0.088600
Miss Rate: 4096 1 0.100170
Miss Rate: 4096 2 0.075280
Miss Rate: 4096 4 0.059920
Miss Rate: 4096 8 0.053650
Miss Rate: 4096 128 0.049540
Miss Rate: 8192 1 0.067000
Miss Rate: 8192 2 0.047340
Miss Rate: 8192 4 0.042470
Miss Rate: 8192 8 0.039540
Miss Rate: 8192 256 0.039120
Miss Rate: 16384 1 0.046090
Miss Rate: 16384 2 0.033840
Miss Rate: 16384 4 0.028320
Miss Rate: 16384 8 0.027740
Miss Rate: 16384 512 0.026340
Miss Rate: 32768 1 0.037680
Miss Rate: 32768 2 0.028810
Miss Rate: 32768 4 0.026400
Miss Rate: 32768 8 0.026250
Miss Rate: 32768 1024 0.026240
Miss Rate: 65536 1 0.032920
Miss Rate: 65536 2 0.027130
Miss Rate: 65536 4 0.025950
Miss Rate: 65536 8 0.025890
Miss Rate: 65536 2048 0.025830
Miss Rate: 131072 1 0.032330
Miss Rate: 131072 2 0.025900
Miss Rate: 131072 4 0.025820
Miss Rate: 131072 8 0.025820
Miss Rate: 131072 4096 0.025820
Miss Rate: 262144 1 0.025840
Miss Rate: 262144 2 0.025840
Miss Rate: 262144 4 0.025820
Miss Rate: 262144 8 0.025820
Miss Rate: 262144 8192 0.025820
Miss Rate: 524288 1 0.025840
Miss Rate: 524288 2 0.025820
Miss Rate: 524288 4 0.025820
Miss Rate: 524288 8 0.025820
Miss Rate: 524288 16384 0.025820
Miss Rate: 1048576 1 0.025840
Miss Rate: 1048576 2 0.025820
Miss Rate: 1048576 4 0.025820
Miss Rate: 1048576 8 0.025820
Miss Rate: 1048576 32768 0.025820
