Miss Rate: 16 1024 4 0.147310
Miss Rate: 32 1024 4 0.142700
Miss Rate: 64 1024 4 0.158390
Miss Rate: 128 1024 4 0.203630
Miss Rate: 16 2048 4 0.106210
Miss Rate: 32 2048 4 0.096220
Miss Rate: 64 2048 4 0.103260
Miss Rate: 128 2048 4 0.133370
Miss Rate: 16 4096 4 0.075540
Miss Rate: 32 4096 4 0.059920
Miss Rate: 64 4096 4 0.061890
Miss Rate: 128 4096 4 0.083030
Miss Rate: 16 8192 4 0.059450
Miss Rate: 32 8192 4 0.042470
Miss Rate: 64 8192 4 0.038590
Miss Rate: 128 8192 4 0.048350
Miss Rate: 16 16384 4 0.048230
Miss Rate: 32 16384 4 0.028320
Miss Rate: 64 16384 4 0.020450
Miss Rate: 128 16384 4 0.019820
Miss Rate: 16 32768 4 0.047540
Miss Rate: 32 32768 4 0.026400
Miss Rate: 64 32768 4 0.015580
Miss Rate: 128 32768 4 0.011070
